"fips","pop2025","pop2020","state","stateCode","growthSince2020","name","county","slug","areaMi","densityMi","rank"
13273,8692,9140,"Georgia","GA",-0.049015317286652094,"Terrell County","Terrell County","georgia/terrell-county",336,25.86904761904762,133
13141,8636,8709,"Georgia","GA",-0.00838213342519234,"Hancock County","Hancock County","georgia/hancock-county",471,18.335456475583864,134
13319,8587,8839,"Georgia","GA",-0.028510012444846744,"Wilkinson County","Wilkinson County","georgia/wilkinson-county",449,19.124721603563476,135
13003,8519,8312,"Georgia","GA",0.024903753609239576,"Atkinson County","Atkinson County","georgia/atkinson-county",343,24.836734693877553,136
13053,8508,9481,"Georgia","GA",-0.10262630524206307,"Chattahoochee County","Chattahoochee County","georgia/chattahoochee-county",249,34.16867469879518,137
13209,8365,8569,"Georgia","GA",-0.023806745244485894,"Montgomery County","Montgomery County","georgia/montgomery-county",241,34.70954356846473,138
13181,8200,7702,"Georgia","GA",0.06465853025188273,"Lincoln County","Lincoln County","georgia/lincoln-county",210,39.04761904761905,139
13197,7785,7528,"Georgia","GA",0.034139213602550456,"Marion County","Marion County","georgia/marion-county",366,21.270491803278688,140
13269,7773,7819,"Georgia","GA",-0.005883105256426657,"Taylor County","Taylor County","georgia/taylor-county",377,20.618037135278513,141
13289,7750,8011,"Georgia","GA",-0.0325802022219448,"Twiggs County","Twiggs County","georgia/twiggs-county",359,21.58774373259053,142
13309,7055,7451,"Georgia","GA",-0.05314722855992482,"Wheeler County","Wheeler County","georgia/wheeler-county",295,23.915254237288135,143
13065,6934,6725,"Georgia","GA",0.031078066914498104,"Clinch County","Clinch County","georgia/clinch-county",815,8.5079754601227,144
13283,6489,6393,"Georgia","GA",0.015016424213984081,"Treutlen County","Treutlen County","georgia/treutlen-county",199,32.608040201005025,145
13243,6057,6364,"Georgia","GA",-0.048240100565681954,"Randolph County","Randolph County","georgia/randolph-county",428,14.151869158878505,146
13201,5858,5992,"Georgia","GA",-0.02236315086782381,"Miller County","Miller County","georgia/miller-county",282,20.77304964539007,147
13263,5795,5725,"Georgia","GA",0.012227074235807933,"Talbot County","Talbot County","georgia/talbot-county",391,14.820971867007673,148
13037,5420,5574,"Georgia","GA",-0.027628274129888775,"Calhoun County","Calhoun County","georgia/calhoun-county",280,19.357142857142858,149
13301,5188,5212,"Georgia","GA",-0.004604758250191909,"Warren County","Warren County","georgia/warren-county",284,18.267605633802816,150
13259,4921,5294,"Georgia","GA",-0.07045712126936154,"Stewart County","Stewart County","georgia/stewart-county",459,10.721132897603486,151
13249,4472,4538,"Georgia","GA",-0.014543851917144135,"Schley County","Schley County","georgia/schley-county",167,26.778443113772454,152
13101,3657,3721,"Georgia","GA",-0.017199677506046784,"Echols County","Echols County","georgia/echols-county",420,8.707142857142857,153
13125,3073,2893,"Georgia","GA",0.06221914967162112,"Glascock County","Glascock County","georgia/glascock-county",144,21.34027777777778,154
13061,2761,2829,"Georgia","GA",-0.02403676210675154,"Clay County","Clay County","georgia/clay-county",195,14.158974358974358,155
13007,2714,2850,"Georgia","GA",-0.04771929824561405,"Baker County","Baker County","georgia/baker-county",342,7.935672514619883,156
13239,2368,2224,"Georgia","GA",0.06474820143884896,"Quitman County","Quitman County","georgia/quitman-county",151,15.682119205298013,157
13307,2263,2352,"Georgia","GA",-0.037840136054421714,"Webster County","Webster County","georgia/webster-county",210,10.776190476190477,158
13265,1639,1558,"Georgia","GA",0.051989730423620095,"Taliaferro County","Taliaferro County","georgia/taliaferro-county",195,8.405128205128205,159
